Epoch :  [001/300]   |   loss :  1.287510   |   train_accuracy :  44.769841%
Epoch :  [002/300]   |   loss :  0.909778   |   train_accuracy :  66.257937%
Epoch :  [003/300]   |   loss :  0.545029   |   train_accuracy :  84.436508%
Epoch :  [004/300]   |   loss :  0.393333   |   train_accuracy :  90.974206%
Epoch :  [005/300]   |   loss :  0.339480   |   train_accuracy :  93.327381%
Epoch :  [006/300]   |   loss :  0.275686   |   train_accuracy :  95.216270%
Epoch :  [007/300]   |   loss :  0.268610   |   train_accuracy :  95.605159%
Epoch :  [008/300]   |   loss :  0.234953   |   train_accuracy :  96.841270%
Epoch :  [009/300]   |   loss :  0.231793   |   train_accuracy :  97.065476%
Epoch :  [010/300]   |   loss :  0.255691   |   train_accuracy :  96.285714%
Epoch :  [011/300]   |   loss :  0.203812   |   train_accuracy :  97.880952%
Epoch :  [012/300]   |   loss :  0.205161   |   train_accuracy :  97.867063%
Epoch :  [013/300]   |   loss :  0.208133   |   train_accuracy :  97.789683%
Epoch :  [014/300]   |   loss :  0.186840   |   train_accuracy :  98.436508%
Epoch :  [015/300]   |   loss :  0.217053   |   train_accuracy :  97.755952%
Epoch :  [016/300]   |   loss :  0.185797   |   train_accuracy :  98.658730%
Epoch :  [017/300]   |   loss :  0.205310   |   train_accuracy :  97.982143%
Epoch :  [018/300]   |   loss :  0.184944   |   train_accuracy :  98.579365%
Epoch :  [019/300]   |   loss :  0.185390   |   train_accuracy :  98.654762%
Epoch :  [020/300]   |   loss :  0.186888   |   train_accuracy :  98.609127%
Epoch :  [021/300]   |   loss :  0.179749   |   train_accuracy :  98.863095%
Epoch :  [022/300]   |   loss :  0.189767   |   train_accuracy :  98.551587%
Epoch :  [023/300]   |   loss :  0.169806   |   train_accuracy :  99.190476%
Epoch :  [024/300]   |   loss :  0.169632   |   train_accuracy :  99.158730%
Epoch :  [025/300]   |   loss :  0.192655   |   train_accuracy :  98.496032%
Epoch :  [026/300]   |   loss :  0.170450   |   train_accuracy :  99.154762%
Epoch :  [027/300]   |   loss :  0.166089   |   train_accuracy :  99.164683%
Epoch :  [028/300]   |   loss :  0.167833   |   train_accuracy :  99.142857%
Epoch :  [029/300]   |   loss :  0.180219   |   train_accuracy :  98.831349%
Epoch :  [030/300]   |   loss :  0.174269   |   train_accuracy :  98.924603%
Epoch :  [031/300]   |   loss :  0.156477   |   train_accuracy :  99.464286%
Epoch :  [032/300]   |   loss :  0.178359   |   train_accuracy :  98.922619%
Epoch :  [033/300]   |   loss :  0.160051   |   train_accuracy :  99.365079%
Epoch :  [034/300]   |   loss :  0.176821   |   train_accuracy :  98.890873%
Epoch :  [035/300]   |   loss :  0.173551   |   train_accuracy :  99.063492%
Epoch :  [036/300]   |   loss :  0.155693   |   train_accuracy :  99.498016%
Epoch :  [037/300]   |   loss :  0.168108   |   train_accuracy :  99.186508%
Epoch :  [038/300]   |   loss :  0.155220   |   train_accuracy :  99.484127%
